unique_id,Date,Prix
arnoglosse,2015-01-11,0.21079497494166555
arnoglosse,2015-01-18,0.18923120397443846
arnoglosse,2015-01-25,0.18023170753798373
arnoglosse,2015-02-01,0.17541780685675618
arnoglosse,2015-02-08,0.17718795575841678
arnoglosse,2015-02-15,0.17547957281663912
arnoglosse,2015-02-22,0.18092538010239417
arnoglosse,2015-03-01,0.15367743834593023
arnoglosse,2015-03-08,0.17241007041502815
arnoglosse,2015-03-15,0.16605102138168557
arnoglosse,2015-03-22,0.19043784633272942
arnoglosse,2015-03-29,0.165972999354246
arnoglosse,2015-04-05,0.17007409054518396
arnoglosse,2015-04-12,0.152046817099729
arnoglosse,2015-04-19,0.16267098095939672
arnoglosse,2015-04-26,0.2106313939542614
arnoglosse,2015-05-03,0.17442149200804785
arnoglosse,2015-05-10,0.1560568716519169
arnoglosse,2015-05-17,0.15106744997406935
arnoglosse,2015-05-24,0.14963215344695452
arnoglosse,2015-05-31,0.1870472807877498
arnoglosse,2015-06-07,0.17338754489010688
arnoglosse,2015-06-14,0.16121587248360886
arnoglosse,2015-06-21,0.1612855889248171
arnoglosse,2015-06-28,0.15122416131368321
arnoglosse,2015-07-05,0.14579373606607915
arnoglosse,2015-07-12,0.12982806097134408
arnoglosse,2015-07-19,0.13072141740936868
arnoglosse,2015-07-26,0.16659793236351833
arnoglosse,2015-08-02,0.14454667474588323
arnoglosse,2015-08-09,0.13576188741727555
arnoglosse,2015-08-16,0.15446035093029423
arnoglosse,2015-08-23,0.12921631181547713
arnoglosse,2015-08-30,0.12613112479491315
arnoglosse,2015-09-06,0.13083380828136829
arnoglosse,2015-09-13,0.16351541337172393
arnoglosse,2015-09-20,0.13380091465728938
arnoglosse,2015-09-27,0.1383736576480235
arnoglosse,2015-10-04,0.16244347437037826
arnoglosse,2015-10-11,0.13995255724701938
arnoglosse,2015-10-18,0.1528759196950526
arnoglosse,2015-10-25,0.1538002204580814
arnoglosse,2015-11-01,0.16010172832706826
arnoglosse,2015-11-08,0.19939338138961005
arnoglosse,2015-11-15,0.16689088777716166
arnoglosse,2015-11-22,0.20342040832814845
arnoglosse,2015-11-29,0.19293051215632412
arnoglosse,2015-12-06,0.21472046617632579
arnoglosse,2015-12-13,0.1925323059196032
arnoglosse,2015-12-20,0.212615793672759
arnoglosse,2015-12-27,0.15218369405197157
arnoglosse,2016-01-03,0.17193039209246383
arnoglosse,2016-01-10,0.19167709013295609
arnoglosse,2016-01-17,0.17359904864023798
arnoglosse,2016-01-24,0.17728789878520143
arnoglosse,2016-01-31,0.19074689596992336
arnoglosse,2016-02-07,0.18815233583290442
arnoglosse,2016-02-14,0.18854835769366007
arnoglosse,2016-02-21,0.16060369206443664
arnoglosse,2016-02-28,0.19466599003490642
arnoglosse,2016-03-06,0.20698469961729216
arnoglosse,2016-03-13,0.19976915628422792
arnoglosse,2016-03-20,0.20281666424344214
arnoglosse,2016-03-27,0.20838040152819448
arnoglosse,2016-04-03,0.1947765543426709
arnoglosse,2016-04-10,0.18228582342085387
arnoglosse,2016-04-17,0.16491375446590706
arnoglosse,2016-04-24,0.20594879334937416
arnoglosse,2016-05-01,0.22238406602739913
arnoglosse,2016-05-08,0.17622118900603861
arnoglosse,2016-05-15,0.18876041532682428
arnoglosse,2016-05-22,0.19591953445293536
arnoglosse,2016-05-29,0.15676235470475897
arnoglosse,2016-06-05,0.15139033153842907
arnoglosse,2016-06-12,0.14174943959409522
arnoglosse,2016-06-19,0.1482242602007689
arnoglosse,2016-06-26,0.14683840275726373
arnoglosse,2016-07-03,0.15829360545338264
arnoglosse,2016-07-10,0.15381275908945222
arnoglosse,2016-07-17,0.15454892923815816
arnoglosse,2016-07-24,0.13422161529565588
arnoglosse,2016-07-31,0.1462595121201336
arnoglosse,2016-08-07,0.17794444384883862
arnoglosse,2016-08-14,0.16036356416475667
arnoglosse,2016-08-21,0.14157253689950805
arnoglosse,2016-08-28,0.13358669601531065
arnoglosse,2016-09-04,0.17063819654148663
arnoglosse,2016-09-11,0.17037900507323525
arnoglosse,2016-09-18,0.1673892358026147
arnoglosse,2016-09-25,0.15008164153239006
arnoglosse,2016-10-02,0.16461299568450832
arnoglosse,2016-10-09,0.15211724683633993
arnoglosse,2016-10-16,0.16134182152148385
arnoglosse,2016-10-23,0.1777831465941555
arnoglosse,2016-10-30,0.17075033791384664
arnoglosse,2016-11-06,0.15456579081574082
arnoglosse,2016-11-13,0.20970667290260017
arnoglosse,2016-11-20,0.20498166203881868
arnoglosse,2016-11-27,0.18482330496054267
arnoglosse,2016-12-04,0.25388722630675425
arnoglosse,2016-12-11,0.310539485616093
arnoglosse,2016-12-18,0.2433161220214831
arnoglosse,2016-12-25,0.20277410231753795
arnoglosse,2017-01-01,0.15218369405197157
arnoglosse,2017-01-08,0.31151963696317314
arnoglosse,2017-01-15,0.22675726498877852
arnoglosse,2017-01-22,0.24972205823372778
arnoglosse,2017-01-29,0.20260329578495512
arnoglosse,2017-02-05,0.2458860776633699
arnoglosse,2017-02-12,0.19574829768059432
arnoglosse,2017-02-19,0.25217484033935944
arnoglosse,2017-02-26,0.2435518405735957
arnoglosse,2017-03-05,0.25107549721626843
arnoglosse,2017-03-12,0.22928012860820873
arnoglosse,2017-03-19,0.2573368527411344
arnoglosse,2017-03-26,0.25178205274243926
arnoglosse,2017-04-02,0.25911110055216635
arnoglosse,2017-04-09,0.1786382777599363
arnoglosse,2017-04-16,0.18840119087234097
arnoglosse,2017-04-23,0.1702783726402457
arnoglosse,2017-04-30,0.17207628870424435
